,Date,User,Tweet
88,2020-09-29 18:37:24+00:00,AmitAryaMD,"No mention today of the horrific failures of wave 1 in #LTC with 1800 deaths. 

Why did we not act earlier?

Why are we not legislating minimum staffing ratios? 

And why are we funding for-profit homes for capital repairs when shareholders are making profits? 

#onpoli #COVID19"
89,2020-09-29 18:37:14+00:00,dawnerscott,"Governor Hutchinson begins his press briefing by recognizing the life and service of Atkins school superintendent Jody Jenkins, who died from #COVID19 complications"
90,2020-09-29 18:34:23+00:00,johnthejack,That was pretty cringeworthy: in an information film for students about #covid the vice chancellor does a sales pitch for the university-branded visor. #c4news
91,2020-09-29 18:34:13+00:00,TeaWithKanmani,"Atrocities of #MahaGovt #MahaVikasAghadi since onset of #Covid19:
1. Ridiculously high #electricity bills
2. Botched up investigation of #SushantSinghRajput murder
3. Inefficient management of #hotspots &amp; #lockdown
4. No #elearning platform or solution created for students"
92,2020-09-29 18:32:27+00:00,janerle2002,"Comparing German &amp; Swedish #Covid19 news:

🇩🇪 With rising cases, we have to remember all the vulnerable &amp; we don't want to spread the infection to them➡️😷💚

🇸🇪 Cases are rising? No problem. Let's open care homes for visitors without facemask recommendations🤯

#bytStrategiNu"
93,2020-09-29 18:29:48+00:00,UNAIDS,"""With AIDS we saw that when treatments were found the wealthier people in wealthier countries got back to health, while millions of people in developing countries were left to die. 

We must not repeat the same mistake when a vaccine for #COVID19 is found,"" says @Winnie_Byanyima."
94,2020-09-29 18:25:25+00:00,suhailpat,"May: 5k positive tests (900 deaths)
Today: 7.5k positive tests (71 deaths)

Something just doesn't add up... 🤔

#borishasfailedtheuk #COVID19"
95,2020-09-29 18:23:50+00:00,StompTheGOP,"I just saw that #COVID19 has just reached 1,000,000 deaths around the world. And then I saw that 210,180 Americans have died. Which means that 21% of the #coronavirus deaths are in the US. This wouldn't happen on a competent president's watch. trump is a mass murderer."
96,2020-09-29 18:21:55+00:00,NicoSchira,#Liverpool have officially confirmed that #ThiagoAlcantara has tested positive for #COVID19
97,2020-09-29 18:18:03+00:00,JeffRybak,"I'm hearing about wildly different wait times for #Covid19 testing in smaller centers vs. cities. It isn't too surprising, but if this continues we'll have people who might have Covid intentionally driving long distances just to get tested. Talk about counter-productive. #onpoli"
98,2020-09-29 18:17:59+00:00,srijanpalsingh,"India is #1 in new cases of #COVID19 &amp; daily deaths due to it. We are seeing deadly phase of dual infections of covid+dengue/typhoid etc.
Time to avoid social gatherings &amp; exams before winter wave.The mistake of NEET must NOT be repeated 
#UPSC_Postpone_Karo 
#POSTPONE_KARO_UPSC"
99,2020-09-29 18:15:29+00:00,twoguysonaplane,"Someone please explain why the flying public hates flight attendants so much. If we DON’T enforce the mask policy, we’re lazy... but if we DO, we’re monsters. Which is it? #COVID19"
100,2020-09-29 18:10:14+00:00,deasy_diane,So many people losing their jobs 😢because of #COVID19  Surely its time to lower the state pension age instead of raising it @BorisJohnson
101,2020-09-29 18:08:45+00:00,Koentatweets,"Crap. 
Got some trouble in my bubble. #bubbletrouble #covid"
102,2020-09-29 18:08:28+00:00,krazy4ujc,"Doctors &amp; nurses I completely understand you must follow your hospital’s #COVID19 protocol. 

But please show some compassion as you ask a family member to leave their loved ones,alone,weak,in pain,incoherent&amp;confused in the ICU after being w/them all night long. 

I’m broken!😭"
103,2020-09-29 18:07:46+00:00,PaulRutt,"WTAF? 3 cases of #COVID19 in #Gwynedd and they’re deemed safe. 4 cases in #Denbighshire and we’re going into #lockdown An insane decision! Businesses will fail, mental health will suffer. More people will die  ‘because of Covid’ instead of ‘of Covid’ @MarkDrakeford #Disgrace"
104,2020-09-29 18:03:32+00:00,HousingGemma,"Having more good days with #LongCovid now. I’m able to sit up and watch tv or read most days, along side some low level activities. But somehow that makes the bad days, when I’m back in bed and in pain, so much harder to deal with #StaySafe #COVID19"
105,2020-09-29 18:00:16+00:00,AndyOstroy,"Dear fellow Americans: #Covid19 is the flooded town. Masks and distancing is the dam. The flooding stopped. But then many of you decided that because the flooding 'magically' stopped, we don't need that unsightly dam anymore. #Coronavirus is not gone.  #WearADamnMask"
106,2020-09-29 17:57:03+00:00,NewDayForNJ,"#COVID19 has a 99.9% survival rate—

Please name one other thing in life, other than permanently hiding in the basement, that has a better rate.

Life itself has risks.  Isn’t it time to wisely understand that &amp; return to an America that’s ruled by reason instead of paranoia?"
107,2020-09-29 17:48:46+00:00,joshanzaldua,I can taste and smell again. I can finally breathe without coughing. I haven’t had a fever since Thursday evening. I’m a very lucky #covidsurvivor. Thank those of you who checked in on me. Battling this disease was no joke. 🙏🏽 #wearyourmask #washyourhands #COVID19
108,2020-09-29 17:46:59+00:00,charles_gaba,(sigh) Welp. My cousin just tested positive for #COVID19 :(
109,2020-09-29 17:43:55+00:00,grantstern,"If Donald Trump didn't want Chris Wallace to mention that his policies let 200,000 Americans die of #COVID19, then he should've thought of that in January, February or March, not in September.

That concludes the discussion about #Debates2020.

All else is pomp and circumstance."
110,2020-09-29 17:40:38+00:00,menacesingh,"Thiago Alcantara tests positive for #COVID19 
Wishing you a speedy recovery @Thiago6 stay strong 💪"
111,2020-09-29 17:39:46+00:00,sabrexine,"Just incase you missed it. There were 7,000 reported #COVID19 infections and still there is no shielding for the vulnerable, which is 59% of the deaths. #VulnerableLivesMatterToo 

@BorisJohnson"
112,2020-09-29 17:38:49+00:00,marty888nyc,"Just watched an interview on @CNN  with a young Florida woman who owns a bar/restaurant. If her stupidity &amp; denial (""people should be allowed to go where they want to go"") is any indication of attitudes around the country, it will be along time before we are free of #coronavirus"
113,2020-09-29 17:38:31+00:00,derekjames150,"I hesitate to suggest this, because it seems so obvious, but when #Covid19 rules vary from one area to another, you should be able to put your postcode into an app or a website and obtain the definitive rules for your area. Apparently, common sense is beyond this Government!"
114,2020-09-29 17:37:09+00:00,NatashaBhuyan,"Here are #healthcare topics I want to hear about in the #Debates2020 :

#COVID19 testing strategy
Vaccine distribution plan
Protection for pre-existing conditions
#PrimaryCare access (esp. given losses of employer-based plans)
Affordable meds

What else? @jeremyfaust @DrEricDing"
115,2020-09-29 17:34:02+00:00,robferguson1,"NEW: On social bubbles of 10 people including those in your own household, Ontario's chief medical officer Dr. David Williams says they may be reconsidered for ""hot zones"" like Toronto. Toronto's top doc @epdevilla said stick to your own household now. #COVID19 #onpoli"
116,2020-09-29 17:31:57+00:00,pRoSetrySheIs,"2nd go 'round:

who would've expected
in a million years
death of the handshake

#haiku #haikuchallenge #senryu #poetry #Covid19 #pandemic  @baffled (expect)"
117,2020-09-29 17:31:05+00:00,PTI_News,BJP MP from Himachal Pradesh Indu Goswami says she has tested positive for #coronavirus
118,2020-09-29 17:28:21+00:00,dearsusanbranch,"Nurses in this country make (on average) $71,000 a year, and pay almost $18,000 in income taxes. Just to put things into perspective.

Thank you dear darling nurses of America. We would be nothing without you. #nurses #FirstResponders 😷#Covid19 #CDC"
119,2020-09-29 17:27:58+00:00,RepCohen,Listening to the legendary @JohnPrineMusic this morning. Miss him as a fan and friend. John  died April 7 of #COVID19. I blame in part @realDonaldTrump . You knew and did t little to nothing for almost 2 months. Unforgivable. #TrumpKnew .
120,2020-09-29 17:25:25+00:00,morethanmySLE,"BREAKING: NYC daily #Covid19 positivity rate passes 3% mark for first time in months. 

Indoor dining at limited capacity, is supposed to begin on 9/30!"
121,2020-09-29 17:24:24+00:00,PTI_News,"90 new #coronavirus cases in UP's Muzaffarnagar district, active cases 947; toll rises to 69 with another death: Official"
122,2020-09-29 17:23:18+00:00,NBirenSingh,"I join the nation in praying for the good health of our Hon'ble Vice President, Shri @MVenkaiahNaidu ji and early quick recovery from #COVID19."
123,2020-09-29 17:22:50+00:00,Colins__Tweets,"Yes, it’s totally normal that it now requires more documentation for an Englishman to get a pint in a pub than it does for an illegal boat migrant to enter England.#COVID19 #nomasks"
124,2020-09-29 17:18:49+00:00,rameshlaus,"Good News!

25 Million people have now recovered from #Coronavirus infection WW..

Out of the nearly 34 Million total cases reported so far.. 

#CoronavirusPandemic"
